period,plant,planned,actual,capacity,utilization,cost_per_unit
1,Plant A,2550,2425,3000,80.8,20.3
1,Plant B,2000,1900,2800,67.9,21.2
1,Plant C,1800,1710,2500,68.4,19.8
2,Plant A,2600,2470,3000,82.3,21.2
2,Plant B,2100,1995,2800,71.3,20.5
2,Plant C,1900,1805,2500,72.2,20.1
3,Plant A,2700,2565,3000,85.5,19.8
3,Plant B,2200,2090,2800,74.6,20.9
3,Plant C,2000,1900,2500,76.0,19.5
4,Plant A,2800,2660,3000,88.7,20.1
4,Plant B,2300,2185,2800,78.0,20.4
4,Plant C,2100,1995,2500,79.8,20.3
5,Plant A,2900,2755,3000,91.8,20.2
5,Plant B,2400,2280,2800,81.4,21.0
5,Plant C,2200,2090,2500,83.6,20.1
6,Plant A,2950,2802,3000,93.4,20.8
6,Plant B,2450,2327,2800,83.1,20.6
6,Plant C,2250,2137,2500,85.5,20.4
